latitude_bin,longitude_bin,updated_type,updated_subtype,count
41.64,-87.61,Hazard,On Road,3
41.65,-87.62,Hazard,On Road,16
41.65,-87.62,Jam,Unclassified,1
41.65,-87.62,Road Closed,Unclassified,1
41.65,-87.61,Hazard,On Road,12
41.65,-87.61,Jam,Stand Still Traffic,1
41.65,-87.61,Jam,Unclassified,2
41.65,-87.6,Hazard,On Road,1
41.65,-87.6,Jam,Unclassified,1
41.65,-87.58,Accident,Major,26
41.65,-87.58,Accident,Minor,7
41.65,-87.58,Accident,Unclassified,52
41.65,-87.58,Hazard,On Road,304
41.65,-87.58,Hazard,On Shoulder,1709
41.65,-87.58,Hazard,Unclassified,2
41.65,-87.58,Hazard,Weather,71
41.65,-87.58,Jam,Heavy Traffic,155
41.65,-87.58,Jam,Moderate Traffic,6
41.65,-87.58,Jam,Stand Still Traffic,74
41.65,-87.58,Jam,Unclassified,82
41.65,-87.56,Accident,Major,1
41.65,-87.56,Accident,Unclassified,1
41.65,-87.56,Hazard,On Road,15
41.65,-87.56,Hazard,On Shoulder,9
41.65,-87.56,Hazard,Weather,6
41.65,-87.56,Jam,Stand Still Traffic,2
41.65,-87.56,Jam,Unclassified,1
41.66,-87.65,Hazard,On Road,8
41.66,-87.65,Hazard,Unclassified,1
41.66,-87.64,Accident,Unclassified,4
41.66,-87.64,Hazard,On Road,55
41.66,-87.64,Hazard,On Shoulder,5
41.66,-87.64,Hazard,Weather,7
41.66,-87.64,Jam,Heavy Traffic,6
41.66,-87.64,Jam,Stand Still Traffic,5
41.66,-87.64,Jam,Unclassified,8
41.66,-87.63,Accident,Unclassified,4
41.66,-87.63,Hazard,On Road,26
41.66,-87.63,Hazard,On Shoulder,8
41.66,-87.63,Hazard,Weather,2
41.66,-87.63,Jam,Heavy Traffic,1
41.66,-87.63,Jam,Unclassified,2
41.66,-87.63,Road Closed,Unclassified,1
41.66,-87.62,Accident,Minor,1
41.66,-87.62,Accident,Unclassified,8
41.66,-87.62,Hazard,On Road,51
41.66,-87.62,Hazard,On Shoulder,19
41.66,-87.62,Hazard,Weather,5
41.66,-87.62,Jam,Heavy Traffic,17
41.66,-87.62,Jam,Stand Still Traffic,15
41.66,-87.62,Jam,Unclassified,7
41.66,-87.61,Accident,Unclassified,2
41.66,-87.61,Hazard,On Road,29
41.66,-87.61,Hazard,On Shoulder,10
41.66,-87.61,Hazard,Unclassified,1
41.66,-87.61,Jam,Heavy Traffic,1
41.66,-87.61,Jam,Stand Still Traffic,6
41.66,-87.61,Jam,Unclassified,2
41.66,-87.6,Accident,Unclassified,3
41.66,-87.6,Hazard,On Road,41
41.66,-87.6,Hazard,On Shoulder,41
41.66,-87.6,Hazard,Weather,7
41.66,-87.6,Jam,Unclassified,8
41.66,-87.59,Accident,Major,63
41.66,-87.59,Accident,Minor,13
41.66,-87.59,Accident,Unclassified,113
41.66,-87.59,Hazard,On Road,757
41.66,-87.59,Hazard,On Shoulder,2498
41.66,-87.59,Hazard,Unclassified,21
41.66,-87.59,Hazard,Weather,221
41.66,-87.59,Jam,Heavy Traffic,317
41.66,-87.59,Jam,Moderate Traffic,14
41.66,-87.59,Jam,Stand Still Traffic,162
41.66,-87.59,Jam,Unclassified,117
41.66,-87.59,Road Closed,Event,5
41.66,-87.59,Road Closed,Unclassified,4
41.66,-87.58,Accident,Major,4
41.66,-87.58,Accident,Minor,5
41.66,-87.58,Accident,Unclassified,25
41.66,-87.58,Hazard,On Road,221
41.66,-87.58,Hazard,On Shoulder,454
41.66,-87.58,Hazard,Unclassified,4
41.66,-87.58,Hazard,Weather,25
41.66,-87.58,Jam,Heavy Traffic,29
41.66,-87.58,Jam,Stand Still Traffic,13
41.66,-87.58,Jam,Unclassified,19
41.66,-87.58,Road Closed,Unclassified,2
41.66,-87.57,Accident,Major,4
41.66,-87.57,Accident,Minor,3
41.66,-87.57,Accident,Unclassified,13
41.66,-87.57,Hazard,On Road,82
41.66,-87.57,Hazard,On Shoulder,40
41.66,-87.57,Hazard,Unclassified,1
41.66,-87.57,Hazard,Weather,7
41.66,-87.57,Jam,Heavy Traffic,61
41.66,-87.57,Jam,Moderate Traffic,3
41.66,-87.57,Jam,Stand Still Traffic,39
41.66,-87.57,Jam,Unclassified,21
41.66,-87.56,Accident,Major,1
41.66,-87.56,Accident,Minor,5
41.66,-87.56,Accident,Unclassified,9
41.66,-87.56,Hazard,On Road,74
41.66,-87.56,Hazard,On Shoulder,46
41.66,-87.56,Hazard,Unclassified,1
41.66,-87.56,Hazard,Weather,13
41.66,-87.56,Jam,Heavy Traffic,4
41.66,-87.56,Jam,Stand Still Traffic,4
41.66,-87.56,Jam,Unclassified,5
41.67,-87.66,Hazard,On Road,1
41.67,-87.66,Jam,Unclassified,1
41.67,-87.64,Accident,Minor,1
41.67,-87.64,Accident,Unclassified,2
41.67,-87.64,Hazard,On Road,33
41.67,-87.64,Hazard,On Shoulder,2
41.67,-87.64,Hazard,Weather,1
41.67,-87.64,Jam,Heavy Traffic,3
41.67,-87.64,Jam,Stand Still Traffic,1
41.67,-87.64,Jam,Unclassified,5
41.67,-87.63,Hazard,On Road,5
41.67,-87.63,Hazard,Weather,2
41.67,-87.63,Jam,Unclassified,2
41.67,-87.63,Road Closed,Unclassified,1
41.67,-87.62,Hazard,On Road,8
41.67,-87.62,Jam,Heavy Traffic,1
41.67,-87.62,Jam,Unclassified,2
41.67,-87.6,Accident,Major,54
41.67,-87.6,Accident,Minor,5
41.67,-87.6,Accident,Unclassified,48
41.67,-87.6,Hazard,On Road,263
41.67,-87.6,Hazard,On Shoulder,1688
41.67,-87.6,Hazard,Unclassified,5
41.67,-87.6,Hazard,Weather,18
41.67,-87.6,Jam,Heavy Traffic,192
41.67,-87.6,Jam,Moderate Traffic,5
41.67,-87.6,Jam,Stand Still Traffic,81
41.67,-87.6,Jam,Unclassified,77
41.67,-87.6,Road Closed,Event,1
41.67,-87.6,Road Closed,Unclassified,1
41.67,-87.59,Accident,Major,9
41.67,-87.59,Accident,Minor,8
41.67,-87.59,Accident,Unclassified,25
41.67,-87.59,Hazard,On Road,104
41.67,-87.59,Hazard,On Shoulder,567
41.67,-87.59,Hazard,Unclassified,5
41.67,-87.59,Hazard,Weather,9
41.67,-87.59,Jam,Heavy Traffic,65
41.67,-87.59,Jam,Moderate Traffic,5
41.67,-87.59,Jam,Stand Still Traffic,21
41.67,-87.59,Jam,Unclassified,14
41.67,-87.58,Hazard,On Road,6
41.67,-87.58,Hazard,On Shoulder,2
41.67,-87.58,Road Closed,Construction,1
41.67,-87.57,Hazard,On Road,5
41.67,-87.57,Hazard,On Shoulder,5
41.67,-87.57,Jam,Stand Still Traffic,1
41.67,-87.56,Accident,Unclassified,1
41.67,-87.56,Hazard,On Road,16
41.67,-87.56,Hazard,On Shoulder,12
41.67,-87.56,Hazard,Weather,1
41.67,-87.56,Jam,Heavy Traffic,2
41.67,-87.56,Jam,Stand Still Traffic,27
41.67,-87.56,Jam,Unclassified,3
41.67,-87.56,Road Closed,Event,1
41.68,-87.72,Accident,Minor,1
41.68,-87.72,Accident,Unclassified,2
41.68,-87.72,Hazard,On Road,26
41.68,-87.72,Hazard,Unclassified,8
41.68,-87.72,Hazard,Weather,1
41.68,-87.72,Jam,Heavy Traffic,2
41.68,-87.72,Jam,Stand Still Traffic,1
41.68,-87.72,Jam,Unclassified,2
41.68,-87.71,Accident,Unclassified,3
41.68,-87.71,Hazard,On Road,9
41.68,-87.71,Jam,Unclassified,1
41.68,-87.7,Hazard,On Road,9
41.68,-87.7,Jam,Heavy Traffic,1
41.68,-87.68,Hazard,On Road,40
41.68,-87.68,Hazard,Unclassified,1
41.68,-87.68,Hazard,Weather,2
41.68,-87.68,Jam,Stand Still Traffic,1
41.68,-87.68,Jam,Unclassified,3
41.68,-87.68,Road Closed,Event,2
41.68,-87.67,Accident,Unclassified,3
41.68,-87.67,Hazard,On Road,36
41.68,-87.67,Hazard,On Shoulder,3
41.68,-87.67,Hazard,Weather,3
41.68,-87.67,Jam,Heavy Traffic,3
41.68,-87.67,Jam,Stand Still Traffic,4
41.68,-87.67,Jam,Unclassified,4
41.68,-87.66,Accident,Major,5
41.68,-87.66,Accident,Unclassified,3
41.68,-87.66,Hazard,On Road,23
41.68,-87.66,Hazard,On Shoulder,30
41.68,-87.66,Hazard,Weather,6
41.68,-87.66,Jam,Heavy Traffic,3
41.68,-87.66,Jam,Stand Still Traffic,4
41.68,-87.66,Jam,Unclassified,7
41.68,-87.66,Road Closed,Unclassified,2
41.68,-87.65,Hazard,On Road,7
41.68,-87.65,Hazard,Weather,3
41.68,-87.65,Jam,Unclassified,2
41.68,-87.64,Accident,Minor,1
41.68,-87.64,Accident,Unclassified,5
41.68,-87.64,Hazard,On Road,20
41.68,-87.64,Hazard,On Shoulder,3
41.68,-87.64,Hazard,Unclassified,3
41.68,-87.64,Hazard,Weather,1
41.68,-87.64,Jam,Heavy Traffic,4
41.68,-87.64,Jam,Stand Still Traffic,1
41.68,-87.64,Jam,Unclassified,9
41.68,-87.64,Road Closed,Unclassified,2
41.68,-87.63,Accident,Unclassified,2
41.68,-87.63,Hazard,On Road,7
41.68,-87.63,Hazard,Weather,2
41.68,-87.63,Jam,Unclassified,1
41.68,-87.63,Road Closed,Unclassified,3
41.68,-87.62,Accident,Unclassified,2
41.68,-87.62,Hazard,On Road,17
41.68,-87.62,Hazard,On Shoulder,1
41.68,-87.62,Hazard,Weather,2
41.68,-87.62,Jam,Unclassified,7
41.68,-87.61,Hazard,On Road,1
41.68,-87.61,Hazard,On Shoulder,1
41.68,-87.61,Jam,Unclassified,1
41.68,-87.6,Accident,Major,35
41.68,-87.6,Accident,Minor,6
41.68,-87.6,Accident,Unclassified,84
41.68,-87.6,Hazard,On Road,409
41.68,-87.6,Hazard,On Shoulder,1988
41.68,-87.6,Hazard,Unclassified,14
41.68,-87.6,Hazard,Weather,22
41.68,-87.6,Jam,Heavy Traffic,329
41.68,-87.6,Jam,Moderate Traffic,13
41.68,-87.6,Jam,Stand Still Traffic,138
41.68,-87.6,Jam,Unclassified,123
41.68,-87.6,Road Closed,Construction,1
41.68,-87.6,Road Closed,Event,2
41.68,-87.6,Road Closed,Unclassified,15
41.68,-87.58,Hazard,On Road,2
41.68,-87.58,Hazard,On Shoulder,3
41.68,-87.56,Hazard,On Road,14
41.68,-87.56,Hazard,On Shoulder,10
41.68,-87.56,Jam,Stand Still Traffic,1
41.68,-87.56,Jam,Unclassified,1
41.69,-87.73,Jam,Unclassified,1
41.69,-87.72,Accident,Unclassified,4
41.69,-87.72,Hazard,On Road,14
41.69,-87.72,Hazard,On Shoulder,1
41.69,-87.72,Hazard,Unclassified,2
41.69,-87.72,Hazard,Weather,1
41.69,-87.72,Jam,Heavy Traffic,3
41.69,-87.72,Jam,Stand Still Traffic,4
41.69,-87.72,Jam,Unclassified,4
41.69,-87.71,Accident,Minor,1
41.69,-87.71,Accident,Unclassified,3
41.69,-87.71,Hazard,On Road,11
41.69,-87.71,Hazard,On Shoulder,4
41.69,-87.71,Hazard,Unclassified,3
41.69,-87.71,Jam,Heavy Traffic,5
41.69,-87.71,Jam,Stand Still Traffic,2
41.69,-87.71,Jam,Unclassified,8
41.69,-87.7,Accident,Unclassified,3
41.69,-87.7,Hazard,On Road,40
41.69,-87.7,Hazard,On Shoulder,2
41.69,-87.7,Hazard,Unclassified,2
41.69,-87.7,Hazard,Weather,2
41.69,-87.7,Jam,Heavy Traffic,18
41.69,-87.7,Jam,Moderate Traffic,1
41.69,-87.7,Jam,Stand Still Traffic,35
41.69,-87.7,Jam,Unclassified,17
41.69,-87.69,Accident,Minor,1
41.69,-87.69,Accident,Unclassified,1
41.69,-87.69,Hazard,On Road,9
41.69,-87.69,Hazard,On Shoulder,2
41.69,-87.69,Hazard,Weather,3
41.69,-87.69,Jam,Heavy Traffic,15
41.69,-87.69,Jam,Moderate Traffic,1
41.69,-87.69,Jam,Stand Still Traffic,25
41.69,-87.69,Jam,Unclassified,7
41.69,-87.68,Accident,Unclassified,6
41.69,-87.68,Hazard,On Road,36
41.69,-87.68,Hazard,On Shoulder,7
41.69,-87.68,Hazard,Weather,4
41.69,-87.68,Jam,Heavy Traffic,9
41.69,-87.68,Jam,Stand Still Traffic,2
41.69,-87.68,Jam,Unclassified,12
41.69,-87.68,Road Closed,Event,48
41.69,-87.67,Accident,Major,2
41.69,-87.67,Accident,Unclassified,4
41.69,-87.67,Hazard,On Road,38
41.69,-87.67,Hazard,On Shoulder,15
41.69,-87.67,Hazard,Weather,5
41.69,-87.67,Jam,Heavy Traffic,17
41.69,-87.67,Jam,Moderate Traffic,1
41.69,-87.67,Jam,Stand Still Traffic,12
41.69,-87.67,Jam,Unclassified,9
41.69,-87.66,Accident,Major,9
41.69,-87.66,Accident,Minor,2
41.69,-87.66,Accident,Unclassified,18
41.69,-87.66,Hazard,On Road,166
41.69,-87.66,Hazard,On Shoulder,165
41.69,-87.66,Hazard,Unclassified,2
41.69,-87.66,Hazard,Weather,9
41.69,-87.66,Jam,Heavy Traffic,43
41.69,-87.66,Jam,Stand Still Traffic,49
41.69,-87.66,Jam,Unclassified,25
41.69,-87.66,Road Closed,Event,2
41.69,-87.66,Road Closed,Unclassified,19
41.69,-87.65,Accident,Unclassified,1
41.69,-87.65,Hazard,On Road,24
41.69,-87.65,Hazard,Weather,2
41.69,-87.65,Jam,Heavy Traffic,2
41.69,-87.65,Jam,Unclassified,5
41.69,-87.65,Road Closed,Unclassified,3
41.69,-87.64,Accident,Unclassified,4
41.69,-87.64,Hazard,On Road,31
41.69,-87.64,Hazard,On Shoulder,3
41.69,-87.64,Hazard,Weather,3
41.69,-87.64,Jam,Heavy Traffic,5
41.69,-87.64,Jam,Stand Still Traffic,3
41.69,-87.64,Jam,Unclassified,12
41.69,-87.64,Road Closed,Unclassified,1
41.69,-87.63,Accident,Major,1
41.69,-87.63,Accident,Minor,1
41.69,-87.63,Accident,Unclassified,2
41.69,-87.63,Hazard,On Road,34
41.69,-87.63,Hazard,On Shoulder,1
41.69,-87.63,Jam,Stand Still Traffic,2
41.69,-87.63,Jam,Unclassified,3
41.69,-87.63,Road Closed,Unclassified,2
41.69,-87.62,Accident,Unclassified,4
41.69,-87.62,Hazard,On Road,29
41.69,-87.62,Hazard,Weather,3
41.69,-87.62,Jam,Heavy Traffic,2
41.69,-87.62,Jam,Unclassified,4
41.69,-87.61,Accident,Major,2
41.69,-87.61,Accident,Unclassified,4
41.69,-87.61,Hazard,On Road,42
41.69,-87.61,Hazard,On Shoulder,4
41.69,-87.61,Hazard,Weather,4
41.69,-87.61,Jam,Heavy Traffic,5
41.69,-87.61,Jam,Stand Still Traffic,5
41.69,-87.61,Jam,Unclassified,13
41.69,-87.61,Road Closed,Unclassified,1
41.69,-87.6,Accident,Major,52
41.69,-87.6,Accident,Minor,10
41.69,-87.6,Accident,Unclassified,107
41.69,-87.6,Hazard,On Road,710
41.69,-87.6,Hazard,On Shoulder,1538
41.69,-87.6,Hazard,Unclassified,15
41.69,-87.6,Hazard,Weather,67
41.69,-87.6,Jam,Heavy Traffic,658
41.69,-87.6,Jam,Moderate Traffic,11
41.69,-87.6,Jam,Stand Still Traffic,460
41.69,-87.6,Jam,Unclassified,180
41.69,-87.6,Road Closed,Event,4964
41.69,-87.6,Road Closed,Unclassified,10
41.69,-87.59,Hazard,On Road,2
41.69,-87.59,Jam,Stand Still Traffic,1
41.69,-87.59,Jam,Unclassified,1
41.69,-87.58,Accident,Unclassified,1
41.69,-87.58,Hazard,On Shoulder,8
41.69,-87.56,Accident,Major,1
41.69,-87.56,Accident,Unclassified,2
41.69,-87.56,Hazard,On Road,15
41.69,-87.56,Hazard,On Shoulder,5
41.69,-87.56,Hazard,Weather,3
41.7,-87.72,Accident,Unclassified,1
41.7,-87.72,Hazard,On Road,12
41.7,-87.72,Hazard,Unclassified,7
41.7,-87.72,Jam,Unclassified,2
41.7,-87.71,Accident,Unclassified,2
41.7,-87.71,Hazard,On Road,5
41.7,-87.71,Jam,Heavy Traffic,1
41.7,-87.71,Jam,Unclassified,3
41.7,-87.7,Hazard,On Road,3
41.7,-87.7,Jam,Stand Still Traffic,1
41.7,-87.7,Jam,Unclassified,7
41.7,-87.69,Accident,Major,1
41.7,-87.69,Accident,Unclassified,1
41.7,-87.69,Hazard,On Road,3
41.7,-87.69,Jam,Heavy Traffic,1
41.7,-87.69,Jam,Stand Still Traffic,2
41.7,-87.69,Jam,Unclassified,4
41.7,-87.69,Road Closed,Unclassified,2
41.7,-87.68,Accident,Minor,1
41.7,-87.68,Accident,Unclassified,4
41.7,-87.68,Hazard,On Road,25
41.7,-87.68,Hazard,On Shoulder,4
41.7,-87.68,Hazard,Weather,2
41.7,-87.68,Jam,Heavy Traffic,4
41.7,-87.68,Jam,Stand Still Traffic,5
41.7,-87.68,Jam,Unclassified,10
41.7,-87.68,Road Closed,Event,40
41.7,-87.68,Road Closed,Unclassified,2
41.7,-87.67,Accident,Unclassified,2
41.7,-87.67,Hazard,On Road,110
41.7,-87.67,Hazard,On Shoulder,2
41.7,-87.67,Hazard,Weather,1
41.7,-87.67,Jam,Stand Still Traffic,3
41.7,-87.67,Jam,Unclassified,5
41.7,-87.67,Road Closed,Unclassified,3
41.7,-87.66,Accident,Major,9
41.7,-87.66,Accident,Unclassified,9
41.7,-87.66,Hazard,On Road,46
41.7,-87.66,Hazard,On Shoulder,52
41.7,-87.66,Hazard,Weather,2
41.7,-87.66,Jam,Heavy Traffic,7
41.7,-87.66,Jam,Moderate Traffic,1
41.7,-87.66,Jam,Stand Still Traffic,5
41.7,-87.66,Jam,Unclassified,6
41.7,-87.66,Road Closed,Event,2
41.7,-87.65,Accident,Major,1
41.7,-87.65,Accident,Unclassified,2
41.7,-87.65,Hazard,On Road,23
41.7,-87.65,Hazard,On Shoulder,1
41.7,-87.65,Hazard,Weather,1
41.7,-87.65,Jam,Heavy Traffic,4
41.7,-87.65,Jam,Unclassified,5
41.7,-87.65,Road Closed,Unclassified,2
41.7,-87.64,Accident,Unclassified,2
41.7,-87.64,Hazard,On Road,30
41.7,-87.64,Hazard,On Shoulder,2
41.7,-87.64,Hazard,Weather,1
41.7,-87.64,Jam,Heavy Traffic,2
41.7,-87.64,Jam,Stand Still Traffic,1
41.7,-87.64,Jam,Unclassified,7
41.7,-87.64,Road Closed,Unclassified,6
41.7,-87.63,Accident,Unclassified,1
41.7,-87.63,Hazard,On Road,25
41.7,-87.63,Hazard,On Shoulder,1
41.7,-87.63,Jam,Unclassified,1
41.7,-87.62,Accident,Major,1
41.7,-87.62,Accident,Unclassified,4
41.7,-87.62,Hazard,On Road,17
41.7,-87.62,Hazard,On Shoulder,2
41.7,-87.62,Hazard,Weather,2
41.7,-87.62,Jam,Unclassified,9
41.7,-87.62,Road Closed,Unclassified,1
41.7,-87.61,Accident,Major,1
41.7,-87.61,Accident,Unclassified,4
41.7,-87.61,Hazard,On Road,63
41.7,-87.61,Hazard,On Shoulder,3
41.7,-87.61,Hazard,Weather,3
41.7,-87.61,Jam,Unclassified,2
41.7,-87.61,Road Closed,Unclassified,1
41.7,-87.6,Accident,Major,33
41.7,-87.6,Accident,Minor,1
41.7,-87.6,Accident,Unclassified,30
41.7,-87.6,Hazard,On Road,159
41.7,-87.6,Hazard,On Shoulder,784
41.7,-87.6,Hazard,Unclassified,2
41.7,-87.6,Hazard,Weather,19
41.7,-87.6,Jam,Heavy Traffic,227
41.7,-87.6,Jam,Moderate Traffic,6
41.7,-87.6,Jam,Stand Still Traffic,130
41.7,-87.6,Jam,Unclassified,56
41.7,-87.6,Road Closed,Unclassified,2
41.7,-87.59,Accident,Major,26
41.7,-87.59,Accident,Minor,6
41.7,-87.59,Accident,Unclassified,70
41.7,-87.59,Hazard,On Road,285
41.7,-87.59,Hazard,On Shoulder,1531
41.7,-87.59,Hazard,Unclassified,9
41.7,-87.59,Hazard,Weather,46
41.7,-87.59,Jam,Heavy Traffic,496
41.7,-87.59,Jam,Moderate Traffic,7
41.7,-87.59,Jam,Stand Still Traffic,235
41.7,-87.59,Jam,Unclassified,133
41.7,-87.58,Hazard,On Road,5
41.7,-87.58,Hazard,On Shoulder,3
41.7,-87.58,Jam,Stand Still Traffic,1
41.7,-87.57,Hazard,On Road,3
41.7,-87.57,Hazard,Weather,1
41.7,-87.56,Accident,Unclassified,2
41.7,-87.56,Hazard,On Road,16
41.7,-87.56,Hazard,On Shoulder,6
41.7,-87.56,Hazard,Weather,3
41.7,-87.56,Jam,Heavy Traffic,2
41.7,-87.56,Jam,Stand Still Traffic,4
41.7,-87.56,Jam,Unclassified,4
41.71,-87.72,Accident,Unclassified,1
41.71,-87.72,Hazard,On Road,2
41.71,-87.72,Hazard,Unclassified,1
41.71,-87.72,Jam,Unclassified,1
41.71,-87.71,Accident,Unclassified,1
41.71,-87.7,Accident,Major,1
41.71,-87.7,Jam,Unclassified,3
41.71,-87.69,Accident,Major,1
41.71,-87.69,Accident,Unclassified,2
41.71,-87.69,Hazard,On Road,23
41.71,-87.69,Hazard,On Shoulder,2
41.71,-87.69,Hazard,Weather,1
41.71,-87.69,Jam,Heavy Traffic,12
41.71,-87.69,Jam,Stand Still Traffic,11
41.71,-87.69,Jam,Unclassified,5
41.71,-87.69,Road Closed,Unclassified,1
41.71,-87.68,Accident,Major,1
41.71,-87.68,Accident,Minor,1
41.71,-87.68,Accident,Unclassified,7
41.71,-87.68,Hazard,On Road,26
41.71,-87.68,Hazard,On Shoulder,2
41.71,-87.68,Hazard,Weather,5
41.71,-87.68,Jam,Heavy Traffic,50
41.71,-87.68,Jam,Moderate Traffic,1
41.71,-87.68,Jam,Stand Still Traffic,16
41.71,-87.68,Jam,Unclassified,55
41.71,-87.68,Road Closed,Event,2
41.71,-87.67,Accident,Unclassified,4
41.71,-87.67,Hazard,On Road,47
41.71,-87.67,Hazard,On Shoulder,4
41.71,-87.67,Hazard,Weather,3
41.71,-87.67,Jam,Heavy Traffic,40
41.71,-87.67,Jam,Moderate Traffic,2
41.71,-87.67,Jam,Stand Still Traffic,6
41.71,-87.67,Jam,Unclassified,29
41.71,-87.67,Road Closed,Unclassified,1
41.71,-87.66,Accident,Major,4
41.71,-87.66,Accident,Minor,1
41.71,-87.66,Accident,Unclassified,14
41.71,-87.66,Hazard,On Road,71
41.71,-87.66,Hazard,On Shoulder,8
41.71,-87.66,Hazard,Weather,3
41.71,-87.66,Jam,Heavy Traffic,95
41.71,-87.66,Jam,Moderate Traffic,1
41.71,-87.66,Jam,Stand Still Traffic,30
41.71,-87.66,Jam,Unclassified,55
41.71,-87.66,Road Closed,Unclassified,6
41.71,-87.65,Accident,Major,4
41.71,-87.65,Accident,Minor,1
41.71,-87.65,Accident,Unclassified,18
41.71,-87.65,Hazard,On Road,202
41.71,-87.65,Hazard,On Shoulder,59
41.71,-87.65,Hazard,Unclassified,1
41.71,-87.65,Hazard,Weather,8
41.71,-87.65,Jam,Heavy Traffic,110
41.71,-87.65,Jam,Moderate Traffic,2
41.71,-87.65,Jam,Stand Still Traffic,88
41.71,-87.65,Jam,Unclassified,36
41.71,-87.64,Accident,Major,20
41.71,-87.64,Accident,Minor,1
41.71,-87.64,Accident,Unclassified,43
41.71,-87.64,Hazard,On Road,123
41.71,-87.64,Hazard,On Shoulder,80
41.71,-87.64,Hazard,Unclassified,2
41.71,-87.64,Hazard,Weather,2
41.71,-87.64,Jam,Heavy Traffic,104
41.71,-87.64,Jam,Stand Still Traffic,62
41.71,-87.64,Jam,Unclassified,34
41.71,-87.64,Road Closed,Event,4947
41.71,-87.64,Road Closed,Unclassified,31
41.71,-87.63,Accident,Major,6
41.71,-87.63,Accident,Minor,1
41.71,-87.63,Accident,Unclassified,8
41.71,-87.63,Hazard,On Road,49
41.71,-87.63,Hazard,On Shoulder,164
41.71,-87.63,Hazard,Weather,3
41.71,-87.63,Jam,Heavy Traffic,78
41.71,-87.63,Jam,Moderate Traffic,4
41.71,-87.63,Jam,Stand Still Traffic,57
41.71,-87.63,Jam,Unclassified,19
41.71,-87.63,Road Closed,Unclassified,2
41.71,-87.62,Accident,Major,19
41.71,-87.62,Accident,Minor,5
41.71,-87.62,Accident,Unclassified,48
41.71,-87.62,Hazard,On Road,196
41.71,-87.62,Hazard,On Shoulder,894
41.71,-87.62,Hazard,Unclassified,6
41.71,-87.62,Hazard,Weather,4
41.71,-87.62,Jam,Heavy Traffic,412
41.71,-87.62,Jam,Moderate Traffic,12
41.71,-87.62,Jam,Stand Still Traffic,114
41.71,-87.62,Jam,Unclassified,199
41.71,-87.61,Accident,Major,81
41.71,-87.61,Accident,Minor,12
41.71,-87.61,Accident,Unclassified,138
41.71,-87.61,Hazard,On Road,429
41.71,-87.61,Hazard,On Shoulder,2186
41.71,-87.61,Hazard,Unclassified,7
41.71,-87.61,Hazard,Weather,22
41.71,-87.61,Jam,Heavy Traffic,505
41.71,-87.61,Jam,Moderate Traffic,20
41.71,-87.61,Jam,Stand Still Traffic,232
41.71,-87.61,Jam,Unclassified,221
41.71,-87.61,Road Closed,Event,10
41.71,-87.61,Road Closed,Unclassified,31
41.71,-87.6,Accident,Major,21
41.71,-87.6,Accident,Minor,9
41.71,-87.6,Accident,Unclassified,74
41.71,-87.6,Hazard,On Road,397
41.71,-87.6,Hazard,On Shoulder,1636
41.71,-87.6,Hazard,Unclassified,8
41.71,-87.6,Hazard,Weather,8
41.71,-87.6,Jam,Heavy Traffic,614
41.71,-87.6,Jam,Moderate Traffic,23
41.71,-87.6,Jam,Stand Still Traffic,241
41.71,-87.6,Jam,Unclassified,172
41.71,-87.59,Accident,Major,32
41.71,-87.59,Accident,Minor,8
41.71,-87.59,Accident,Unclassified,42
41.71,-87.59,Hazard,On Road,567
41.71,-87.59,Hazard,On Shoulder,1109
41.71,-87.59,Hazard,Unclassified,11
41.71,-87.59,Hazard,Weather,55
41.71,-87.59,Jam,Heavy Traffic,410
41.71,-87.59,Jam,Moderate Traffic,16
41.71,-87.59,Jam,Stand Still Traffic,191
41.71,-87.59,Jam,Unclassified,137
41.71,-87.58,Accident,Major,8
41.71,-87.58,Accident,Minor,1
41.71,-87.58,Accident,Unclassified,16
41.71,-87.58,Hazard,On Road,118
41.71,-87.58,Hazard,On Shoulder,237
41.71,-87.58,Hazard,Unclassified,2
41.71,-87.58,Hazard,Weather,9
41.71,-87.58,Jam,Heavy Traffic,17
41.71,-87.58,Jam,Stand Still Traffic,30
41.71,-87.58,Jam,Unclassified,7
41.71,-87.58,Road Closed,Unclassified,8
41.71,-87.57,Accident,Unclassified,5
41.71,-87.57,Hazard,On Road,44
41.71,-87.57,Hazard,On Shoulder,13
41.71,-87.57,Jam,Heavy Traffic,5
41.71,-87.57,Jam,Stand Still Traffic,2
41.71,-87.57,Jam,Unclassified,5
41.71,-87.56,Accident,Unclassified,9
41.71,-87.56,Hazard,On Road,23
41.71,-87.56,Hazard,On Shoulder,8
41.71,-87.56,Hazard,Weather,1
41.71,-87.56,Jam,Heavy Traffic,19
41.71,-87.56,Jam,Stand Still Traffic,10
41.71,-87.56,Jam,Unclassified,6
41.72,-87.68,Accident,Unclassified,6
41.72,-87.68,Hazard,On Road,24
41.72,-87.68,Hazard,On Shoulder,3
41.72,-87.68,Hazard,Unclassified,3
41.72,-87.68,Jam,Heavy Traffic,18
41.72,-87.68,Jam,Stand Still Traffic,6
41.72,-87.68,Jam,Unclassified,13
41.72,-87.67,Accident,Unclassified,4
41.72,-87.67,Hazard,On Road,49
41.72,-87.67,Hazard,On Shoulder,9
41.72,-87.67,Hazard,Unclassified,2
41.72,-87.67,Hazard,Weather,3
41.72,-87.67,Jam,Heavy Traffic,35
41.72,-87.67,Jam,Moderate Traffic,2
